"","setbp1_genes"
"1","All1"
"2","Cxxc7"
"3","Mll1"
"4","HRX"
"5","Kmt2a"
"6","6430520K01"
"7","ALL-1"
"8","Mll"
"9","mKIAA4050"
"10","HTRX1"
"11","9830141C09Rik"
"12","Phf8"
"13","mKIAA1111"
"14","Phf6"
"15","mKIAA1823"
"16","4931428F02Rik"
"17","2700007B13Rik"
"18","5730420M11Rik"
"19","Set"
"20","I-2PP2A"
"21","StF-IT-1"
"22","TAF-I"
"23","2610030F17Rik"
"24","D6a9"
"25","Hox-1.7"
"26","Hoxa9"
"27","Hox-1.8"
"28","Hoxa-10"
"29","Hoxa10"
"30","Hmgi-rs1"
"31","Hmga1b"
"32","Hmga1-rs1"
"33","Hmgiy"
"34","Hmga1"
"35","Hmga1a"
"36","Hmgi"
"37","Hmgy"
"38","se"
"39","Bmp5"
"40","Dpde3"
"41","Pde4d"
"42","9630011N22Rik"
"43","Cbfa2"
"44","Pebpa2b"
"45","CBF-alpha-2"
"46","Runx1"
"47","AML1"
"48","Pebp2a2"
"49","E2-2"
"50","MITF-2A"
"51","SEF2"
"52","TFE"
"53","Tcf-4"
"54","ME2"
"55","MITF-2B"
"56","Tcf4"
"57","ITF-2"
"58","SEF-2"
"59","bHLHb19"
"60","5730422P05Rik"
"61","ITF-2b"
"62","E2.2"
"63","ITF2"
"64","SEF2-1"
"65","ASP-I2"
"66","Evi9a"
"67","BCL-11A"
"68","Bcl11a"
"69","2810047E18Rik"
"70","Ctip1"
"71","Evi9"
"72","Evi9b"
"73","Evi9c"
"74","D930021L15Rik"
"75","mKIAA1809"
"76","Dntt"
"77","Tdt"
"78","Myb"
"79","c-myb"
"80","Niard"
"81","Nird"
"82","Myc"
"83","bHLHe39"
"84","Myc2"
"85","CRP2"
"86","Nfil6"
"87","Cebpb"
"88","LIP"
"89","LAP"
"90","C/EBPbeta"
"91","IL-6DBP"
"92","NF-IL6"
"93","NF-M"
"94","Adprp"
"95","PPOL"
"96","sPARP-1"
"97","parp-1"
"98","5830444G22Rik"
"99","ARTD1"
"100","Parp1"
"101","Adprt1"
"102","msPARP"
"103","PARP"
"104","Taf1a"
"105","TAFI48"
"106","mTAFI48"
"107","I1PP2A"
"108","LANP"
"109","PHAP1"
"110","Anp32"
"111","pp32"
"112","Anp32a"
"113","Trex1"
"114","Nme1"
"115","NDPK-A"
"116","NM23-M1"
"117","NM23A"
"118","APE"
"119","Apex1"
"120","Apex"
"121","HAP1"
"122","Ref-1"
"123","A830035E16"
"124","Acsf4"
"125","Aasdh"
"126","A230062G08Rik"
"127","U26"
"128","Abt1"
"129","9630032B01Rik"
"130","Af4"
"131","Rob"
"132","Aff1"
"133","Mllt2h"
"134","APC7"
"135","Anapc7"
"136","4930587A11Rik"
"137","Arl8"
"138","Arl5b"
"139","Asb7"
"140","Asb-7"
"141","D030055C23Rik"
"142","1600025G07Rik"
"143","Bag-5"
"144","4930405J06Rik"
"145","Bag5"
"146","Gs15"
"147","Bet1l"
"148","2610021K23Rik"
"149","Brca1"
"150","1700016H13Rik"
"151","4930579G24Rik"
"152","Ccdc174"
"153","C130022K22Rik"
"154","5630400A08"
"155","Ccdc184"
"156","Cdk8"
"157","p18"
"158","p18-INK4c"
"159","Cdkn2c"
"160","INK4c"
"161","p18INK4c"
"162","p18-INK6"
"163","4631422C13Rik"
"164","Cep192"
"165","D430014P18Rik"
"166","Nphp6"
"167","Cep290"
"168","b2b1454Clo"
"169","b2b1752Clo"
"170","mCEPT1"
"171","9930118K05Rik"
"172","Cept1"
"173","Chk1"
"174","Chek1"
"175","rad27"
"176","D8Wsu96e"
"177","Cherp"
"178","DAN16"
"179","5730408I11Rik"
"180","Scaf6"
"181","Narfl"
"182","9030612I22Rik"
"183","Ciao3"
"184","PRN"
"185","Clec16a"
"186","4932416N17Rik"
"187","curt"
"188","mKIAA0350"
"189","Cnih2"
"190","CNIH-2"
"191","Cnil"
"192","Coa8"
"193","Apop1"
"194","2810002N01Rik"
"195","Apopt1"
"196","Apop-1"
"197","1700081D05Rik"
"198","Cox4i1"
"199","COXIV-1"
"200","Cox4"
"201","COX"
"202","IV-1"
"203","COXIV"
"204","Cox4a"
"205","0610009I22Rik"
"206","Crls1"
"207","5730490M08Rik"
"208","4930557M15Rik"
"209","NYD-SP19"
"210","NAP"
"211","Ctnnbl1"
"212","P14L"
"213","5730471K09Rik"
"214","Cwf19l2"
"215","3230401L03Rik"
"216","9030209E10"
"217","9330151E16Rik"
"218","Gm2"
"219","Cyb5d2"
"220","Czib"
"221","0610037L13Rik"
"222","1110008H16Rik"
"223","D1Ucla4"
"224","Dcaf8"
"225","Wdr42a"
"226","D1Dau35e"
"227","H326"
"228","1110056G13Rik"
"229","9130022E05Rik"
"230","Ddi2"
"231","1700027M01Rik"
"232","Dgcr6"
"233","DLTA"
"234","6332404G05Rik"
"235","PDC-E2"
"236","Dlat"
"237","Casc1"
"238","Cfap94"
"239","A230084G12Rik"
"240","Las1"
"241","Dnai7"
"242","1810055D05Rik"
"243","Dnajc19"
"244","Tim14"
"245","2410012M04Rik"
"246","Dph5"
"247","Dpy30"
"248","2810410M20Rik"
"249","2610318G18Rik"
"250","Tmem77"
"251","2010305N14Rik"
"252","Dram2"
"253","phi-AP3"
"254","E4f1"
"255","p120E4F"
"256","Eed"
"257","l(7)5Rn"
"258","l7Rn5"
"259","lusk"
"260","Eef1g"
"261","2610301D06Rik"
"262","EF1G"
"263","66/67kDa"
"264","Eif3s7"
"265","eIF3p66"
"266","Eif3d"
"267","Eif3k"
"268","Eif3s12"
"269","1200009C21Rik"
"270","2310046H11Rik"
"271","Eif4b"
"272","Eif4a2"
"273","Elp3"
"274","2610507P14Rik"
"275","KAT9"
"276","Fam158b"
"277","Emc8"
"278","Noc4"
"279","Cox4nb"
"280","D2Ertd694e"
"281","Epc2"
"282","5830499L14"
"283","3010002K18Rik"
"284","Eprs1"
"285","Qprs"
"286","2410081F06Rik"
"287","Eprs"
"288","vp115"
"289","Fam62a"
"290","Esyt1"
"291","Mbc2"
"292","Etfdh"
"293","0610010I20Rik"
"294","4930469P12Rik"
"295","Lyrm5"
"296","Ghiso"
"297","Etfrf1"
"298","2310003H01Rik"
"299","Faap100"
"300","Faf1"
"301","Dffrx"
"302","Fam"
"303","Fam174b"
"304","Fam229b"
"305","1700025K23Rik"
"306","FKBP-15"
"307","FKBP133"
"308","FKBP-133"
"309","C430014M02Rik"
"310","Fkbp15"
"311","mKIAA0674"
"312","FKBO133"
"313","Fktn"
"314","Fcmd"
"315","D830030O17Rik"
"316","Ggcx"
"317","Ns"
"318","Gnl3"
"319","Golga7"
"320","GCP16"
"321","GOLGA3AP1"
"322","C130038N16Rik"
"323","HSPC041"
"324","EG628040"
"325","Gm6829"
"326","HSP1BP-1"
"327","Hs1bp1"
"328","mHAX-1s"
"329","Silg111"
"330","HAX-1"
"331","Hax1"
"332","SIG-111"
"333","1200006O09Rik"
"334","PSL3"
"335","Hm13"
"336","Spp"
"337","H13"
"338","4930443L17Rik"
"339","5031424B04Rik"
"340","H-13"
"341","Hs2st"
"342","mKIAA0448"
"343","Hs2st1"
"344","2OST"
"345","Ift122"
"346","sopb"
"347","Wdr10"
"348","Abcc10"
"349","OM-1"
"350","Om1"
"351","Ranbp8"
"352","6230418K12Rik"
"353","C130009K11Rik"
"354","MRP7"
"355","Ipo8"
"356","Itfg1"
"357","D8Wsu49e"
"358","2310047C21Rik"
"359","Cda08"
"360","Kiaa2013"
"361","2510039O18Rik"
"362","Kif1bp"
"363","0710007C18Rik"
"364","KBP"
"365","Kifbp"
"366","2510003E04Rik"
"367","mKIAA1279"
"368","ESTM31"
"369","Klhdc9"
"370","1190002J23Rik"
"371","A530090P03Rik"
"372","Klri2"
"373","Gm1074"
"374","4922502D21Rik"
"375","SPATA78"
"376","Clec2m"
"377","Klre-1"
"378","Klre1"
"379","NKG2I"
"380","Klri1"
"381","Gm156"
"382","Klrh1"
"383","Leo1"
"384","Gm185"
"385","Lins"
"386","Lins2"
"387","Wins2"
"388","Lins1"
"389","2700083B01Rik"
"390","Pam14"
"391","9130413I22Rik"
"392","Mrfap1"
"393","4932441F23Rik"
"394","1200008A14Rik"
"395","Lrrcc1"
"396","Lsm4"
"397","Map4k1"
"398","Hpk1"
"399","mHPK1"
"400","Med1"
"401","Mbd4"
"402","MCT-1"
"403","Mcts1"
"404","1500019M23Rik"
"405","2810405O22Rik"
"406","Ixl"
"407","Med29"
"408","Mef2"
"409","5430401D19Rik"
"410","Mef2c"
"411","9930028G15Rik"
"412","avc6"
"413","B8d3"
"414","Mks1"
"415","0610006G08Rik"
"416","Brp44l"
"417","3830411I18Rik"
"418","Mpc1"
"419","Mrpl15"
"420","HSPC145"
"421","Rpml7"
"422","MRP-L7"
"423","Mrps12"
"424","Rpms12"
"425","rps12"
"426","Mrps16"
"427","S16mt"
"428","Mprs16"
"429","1500011E11Rik"
"430","C130068I12Rik"
"431","4732465J09Rik"
"432","C230003M11"
"433","Myo9a"
"434","Zfp121"
"435","Zfp98"
"436","Mzf1"
"437","Mzf-2"
"438","Mzf2"
"439","Znf42"
"440","5730533P17Rik"
"441","Naa30"
"442","4930487N19Rik"
"443","Nat12"
"444","Naaladl2"
"445","Gm1021"
"446","2810043G22Rik"
"447","EG635702"
"448","Nbr1"
"449","mKIAA0049"
"450","CIA"
"451","Ncoa5"
"452","ND6"
"453","mKIAA1165"
"454","N4wbp5a"
"455","9130207N19Rik"
"456","0710001O20Rik"
"457","Ndfip2"
"458","2810436B12Rik"
"459","ACP"
"460","CI-SDAP"
"461","SDAP"
"462","9130423F15Rik"
"463","Ndufab1"
"464","2210401F17Rik"
"465","2310039H15Rik"
"466","2610003B19Rik"
"467","8kDa"
"468","Ndufs5"
"469","Neurl4"
"470","Nrap"
"471","Nol6"
"472","Wbscr20a"
"473","Nsun5"
"474","Nol1r"
"475","9830109N13Rik"
"476","Wbscr20"
"477","4933414E04Rik"
"478","NOPD1"
"479","Nsun6"
"480","4933403D21Rik"
"481","Nudt9"
"482","1190002C07Rik"
"483","ADPR-PPase"
"484","5730511K23Rik"
"485","Paf1"
"486","Parg"
"487","Pbrm1"
"488","BAF180"
"489","Pb1"
"490","2610016F04Rik"
"491","Pcnxl4"
"492","4932413O10"
"493","Pcnx4"
"494","1810048J11Rik"
"495","mKIAA1990"
"496","Pdpr"
"497","4930402E16Rik"
"498","Pdss2"
"499","mDLP1"
"500","Plmp"
"501","kd"
"502","5430420P03Rik"
"503","Gm60"
"504","D230025D16Rik"
"505","Phaf1"
"506","Lin10"
"507","Phkb"
"508","PIG-K"
"509","3000001O05Rik"
"510","Gm38470"
"511","Pigk"
"512","6030436C20Rik"
"513","PRK2"
"514","Prkcl2"
"515","Pkn2"
"516","Stk7"
"517","Ppp5c"
"518","PP5"
"519","Mpnd"
"520","Lmp19"
"521","Psmb6"
"522","6720456J22Rik"
"523","Psmd8"
"524","Rad52"
"525","Rad52yh"
"526","Garnl1"
"527","Ralgapa1"
"528","Tulip1"
"529","2310003F20Rik"
"530","GRIPE"
"531","4930400K19Rik"
"532","mKIAA0884"
"533","Rbm33"
"534","6430512A10Rik"
"535","Prr8"
"536","3200001K10Rik"
"537","2410085M17Rik"
"538","Riok2"
"539","2010110K24Rik"
"540","ARK"
"541","Arkadia"
"542","Rnf111"
"543","Rnf139"
"544","4930555P18Rik"
"545","Rps16"
"546","A830084F09Rik"
"547","Rps6kl1"
"548","2410015F05Rik"
"549","SerRSmt"
"550","D7Ertd353e"
"551","Sars2"
"552","SerRS"
"553","9430015P09Rik"
"554","Sep15"
"555","Selenof"
"556","Senp8"
"557","9130010J17Rik"
"558","Nedp1"
"559","Prsc2"
"560","Den1"
"561","Sfr1"
"562","6330577E15Rik"
"563","Meir5"
"564","Slc31a1"
"565","Ctr1"
"566","4930445G01Rik"
"567","Spt5"
"568","Supt5"
"569","Supt5h"
"570","Taf13"
"571","2010309N11Rik"
"572","1810004N01Rik"
"573","TAFII18"
"574","6330528C20Rik"
"575","Taf5"
"576","G4.5"
"577","Tafazzin"
"578","5031411C02Rik"
"579","9130012G04Rik"
"580","Taz"
"581","Tbc1d23"
"582","D030022P07Rik"
"583","4930451A13Rik"
"584","HBLP1"
"585","VRP"
"586","Tbc1d8"
"587","AD3"
"588","Tcea1"
"589","S-II"
"590","2610017J16Rik"
"591","2610025M23Rik"
"592","Tgds"
"593","Timm23"
"594","Tim23"
"595","Tmem177"
"596","2300008B03Rik"
"597","9130014E20Rik"
"598","B130008E12Rik"
"599","mSmile"
"600","Tmtc3"
"601","Tomm7"
"602","Tom7"
"603","1110020J08Rik"
"604","4021401A16Rik"
"605","Trappc5"
"606","TRS31"
"607","Tsen2"
"608","Ttc23"
"609","1600012K10Rik"
"610","Tti2"
"611","Tube"
"612","Tube1"
"613","2310061K05Rik"
"614","TRP32"
"615","32kDa"
"616","Txnl"
"617","Txnl1"
"618","Ubr1"
"619","2810449C13Rik"
"620","Usp31"
"621","Usp48"
"622","D330022K21Rik"
"623","2700066J21Rik"
"624","NY-CO-16"
"625","Utp14a"
"626","JsdX"
"627","SDCCAG16"
"628","mKIAA0266"
"629","4932411L21Rik"
"630","Utp14b"
"631","jsd"
"632","Utp25"
"633","Def"
"634","Diexf"
"635","endobrevin"
"636","Vamp8"
"637","Edb"
"638","mKIAA0541"
"639","Wdr7"
"640","TRAG"
"641","Zc3h10"
"642","2610312B22Rik"
"643","Ierepo4"
"644","FM22"
"645","Zc3h15"
"646","1700006A17Rik"
"647","1810012H02Rik"
"648","TCF-8"
"649","ZEB"
"650","Zfx1a"
"651","Zeb1"
"652","Tcf8"
"653","Zfx1ha"
"654","Nil2"
"655","Tcf18"
"656","Zfhx1a"
"657","MEB1"
"658","3110032K11Rik"
"659","AREB6"
"660","BZP"
"661","Tw"
"662","Zfhep"
"663","[delta]EF1"
"664","2610510D14Rik"
"665","2900082I05Rik"
"666","Zmat2"
"667","Zfp330"
"668","Znf330"
"669","Noa36"
"670","Znhit6"
"671","2410019A14Rik"
"672","C130099L13Rik"
"673","NSPA"
"674","8430405D05Rik"
"675","Zzef1"
"676","mKIAA0399"
"677","Klc1"
"678","Kns2"
"679","Cnpy1"
"680","1500012D20Rik"
"681","9630008K15Rik"
"682","Nap1l2"
